Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
17-April-2017,2332.50,2333.05,2300.00,2320.85,2311.439907114913913934,47801,3362,110489139.00,12290,25.71,33.05,-11.65
13-April-2017,2400.00,2408.00,2321.35,2327.85,2343.840101756779176728,108494,5988,254292588.00,38845,35.80,86.65,-72.15
12-April-2017,2419.15,2427.00,2380.60,2394.20,2401.461413432156556790,30762,1698,73873756.00,10217,33.21,46.40,-24.95
11-April-2017,2420.00,2442.00,2410.00,2420.80,2427.130888110447146095,24265,1273,58894331.00,8855,36.49,32.00,0.80
10-April-2017,2430.00,2448.00,2408.10,2421.15,2433.836668990690234999,48766,3067,118688479.00,13884,28.47,39.90,-8.85
7-April-2017,2400.00,2430.00,2394.40,2427.10,2418.283445455744624719,37905,2414,91665034.00,12387,32.68,35.60,27.10
6-April-2017,2401.20,2410.05,2390.00,2399.75,2399.590242844752818733,23060,1451,55334551.00,7553,32.75,20.05,-1.45
5-April-2017,2417.00,2418.50,2395.00,2402.85,2402.655377877368099409,39272,2044,94357082.00,14291,36.39,23.50,-14.15
3-April-2017,2435.00,2435.00,2410.00,2413.30,2418.136681007123210381,28358,1548,68573520.00,14733,51.95,25.00,-21.70
31-March-2017,2439.00,2440.00,2414.85,2431.10,2426.436975090239805582,83943,2413,203682399.00,14976,17.84,25.15,-7.90
30-March-2017,2440.00,2465.00,2435.00,2443.75,2455.695647261987379157,61961,3314,152157358.00,32937,53.16,30.00,3.75
29-March-2017,2431.25,2447.90,2426.55,2443.75,2439.311016836802333289,30172,2010,73598892.00,14289,47.36,21.35,12.50
28-March-2017,2412.10,2441.85,2412.10,2429.85,2432.014410058027079303,31020,1762,75441087.00,14333,46.21,29.75,17.75
27-March-2017,2428.00,2441.00,2407.00,2412.10,2418.080250538265805441,81744,3981,197663552.00,47689,58.34,34.00,-15.90
24-March-2017,2465.00,2470.00,2423.70,2426.75,2438.319510247886291652,152812,4851,372604481.00,114949,75.22,46.30,-38.25
23-March-2017,2478.00,2486.00,2448.50,2458.90,2463.265778924143074676,64358,4207,158530859.00,28052,43.59,37.50,-19.10
22-March-2017,2487.00,2495.00,2470.00,2479.10,2480.580624327233584499,55740,2103,138267564.00,31208,55.99,25.00,-7.90
21-March-2017,2482.00,2493.90,2466.00,2486.15,2482.644348226238286479,47808,2161,118690261.00,25471,53.28,27.90,4.15
20-March-2017,2518.00,2523.40,2467.05,2480.80,2488.758364243665688608,54189,4071,134863327.00,21113,38.96,56.35,-37.20
17-March-2017,2548.00,2548.00,2512.45,2526.85,2523.880884231904435108,179229,2802,452352647.00,142852,79.70,35.55,-21.15
16-March-2017,2501.00,2525.00,2501.00,2518.95,2517.024873275963692090,33932,2344,85407688.00,7846,23.12,24.00,17.95
15-March-2017,2565.00,2570.00,2496.05,2500.30,2512.120689085623678646,60544,4639,152093835.00,16655,27.51,73.95,-64.70
14-March-2017,2550.00,2584.00,2550.00,2562.35,2572.161249150156320688,395661,4276,1017703892.00,360074,91.01,34.00,12.35
10-March-2017,2525.00,2548.50,2519.50,2541.80,2535.576750361783705560,67029,2303,169957174.00,47609,71.03,29.00,16.80
9-March-2017,2513.90,2524.90,2503.50,2519.55,2516.097367062467733608,77480,2131,194947224.00,57777,74.57,21.40,5.65
8-March-2017,2499.00,2520.00,2492.00,2513.90,2505.430367650756928028,79532,3095,199261888.00,54503,68.53,28.00,14.90
7-March-2017,2472.00,2507.45,2472.00,2500.70,2495.435509652034919463,48798,4577,121772262.00,19121,39.18,35.45,28.70
6-March-2017,2475.00,2482.45,2454.90,2470.65,2463.973757872638208537,208634,3824,514068701.00,158037,75.75,27.55,-4.35
3-March-2017,2501.00,2501.00,2476.00,2492.35,2488.574616577632259176,34818,2145,86647191.00,9688,27.82,25.00,-8.65
2-March-2017,2480.00,2510.00,2479.10,2501.15,2497.300108106143881101,110077,9157,274895304.00,48841,44.37,30.90,21.15
1-March-2017,2484.00,2501.00,2471.40,2480.05,2488.034791525974838048,39981,3328,99474119.00,15109,37.79,29.60,-3.95
28-February-2017,2488.90,2491.25,2451.55,2466.50,2466.637610186092066601,37777,2992,93182169.00,9082,24.04,39.70,-22.40
27-February-2017,2481.00,2500.00,2473.05,2488.90,2488.513813242338736137,60956,4081,151689848.00,13687,22.45,26.95,7.90
23-February-2017,2410.00,2491.00,2410.00,2481.65,2465.449010562097851159,115318,7765,284310649.00,42879,37.18,81.00,71.65
22-February-2017,2465.00,2471.45,2402.00,2409.55,2423.616182169790072926,128759,8269,312062396.00,42973,33.37,69.45,-55.45
21-February-2017,2516.00,2525.00,2455.20,2464.30,2482.905691835064915016,323885,14861,804175910.00,138563,42.78,69.80,-51.70
20-February-2017,2419.00,2555.00,2412.00,2506.50,2490.577260285041867418,198006,10189,493149241.00,71302,36.01,143.00,87.50
17-February-2017,2452.05,2474.00,2402.15,2408.15,2423.517497731344672731,85954,4545,208311023.00,27007,31.42,71.85,-43.90
16-February-2017,2450.00,2477.50,2436.30,2446.90,2451.154221574730150321,151010,7889,370148799.00,72573,48.06,41.20,-3.10
15-February-2017,2400.00,2427.00,2378.35,2415.70,2407.413866017364559638,62426,3693,150285218.00,19290,30.90,48.65,15.70
14-February-2017,2414.00,2415.00,2396.50,2402.95,2408.458414333000577943,57099,2563,137520567.00,16776,29.38,18.50,-11.05
13-February-2017,2403.30,2425.00,2382.75,2410.30,2409.061079640866041242,89326,5339,215191790.00,16168,18.10,42.25,7.00
10-February-2017,2304.00,2420.90,2304.00,2396.70,2369.831873991902300931,121516,8256,287972490.00,37591,30.94,116.90,92.70
9-February-2017,2270.00,2330.90,2269.00,2324.25,2312.418303681174790281,492207,6511,1138188476.00,443501,90.10,61.90,54.25
8-February-2017,2240.00,2281.00,2240.00,2262.65,2267.520790262259285929,86098,5021,195229005.00,44294,51.45,41.00,22.65
7-February-2017,2241.00,2250.00,2226.00,2244.80,2242.459016393442622950,61122,3691,137063580.00,28761,47.06,24.00,3.80
6-February-2017,2248.20,2254.40,2216.00,2240.55,2232.614131862358812713,68526,3377,152992116.00,27398,39.98,38.40,-7.65
3-February-2017,2205.80,2242.00,2192.00,2233.75,2220.118391864609556092,80242,4786,178146740.00,24155,30.10,50.00,27.95
2-February-2017,2170.00,2218.90,2154.30,2205.80,2183.478223163070199399,146440,11320,319748551.00,31108,21.24,64.60,35.80
1-February-2017,2224.35,2239.95,2162.00,2169.45,2174.228936262380299161,304718,10736,662526693.00,176993,58.08,77.95,-54.90
31-January-2017,2334.00,2334.00,2206.55,2229.90,2237.413684826449529441,223883,12519,500918888.00,78652,35.13,127.45,-104.10
30-January-2017,2340.00,2348.05,2322.05,2334.20,2333.059987166154050406,90386,2205,210875960.00,68226,75.48,26.00,-5.80
27-January-2017,2350.00,2377.30,2347.50,2358.05,2363.298542391013640010,44868,3265,106036479.00,13395,29.85,29.80,8.05
25-January-2017,2318.00,2359.95,2318.00,2352.70,2344.037597128819819505,57398,3445,134543070.00,27693,48.25,41.95,34.70
24-January-2017,2310.00,2324.00,2294.50,2318.00,2313.607603925158486401,116887,2668,270430652.00,95581,81.77,29.50,8.00
23-January-2017,2259.00,2311.00,2259.00,2305.70,2297.802522480439098446,85630,4227,196760830.00,44570,52.05,52.00,46.70
20-January-2017,2291.00,2300.00,2266.00,2287.45,2284.203253082037048989,30986,2079,70778322.00,10796,34.84,34.00,-3.55
19-January-2017,2295.00,2297.00,2283.00,2290.30,2288.189813364364677975,67029,2505,153375075.00,50646,75.56,14.00,-4.70
18-January-2017,2284.60,2297.00,2267.00,2295.00,2284.124058666980094532,119113,3702,272068869.00,88437,74.25,30.00,10.40
17-January-2017,2260.00,2287.00,2252.55,2277.65,2277.251679001290526482,37969,2890,86464969.00,16111,42.43,34.45,17.65
16-January-2017,2252.00,2273.90,2230.00,2258.55,2257.994963382617106535,144740,5667,326822191.00,77719,53.70,43.90,6.55
13-January-2017,2350.00,2368.00,2241.50,2252.00,2272.632752029166602839,456961,25525,1038504535.00,154967,33.91,126.50,-98.00
12-January-2017,2339.90,2359.75,2303.00,2343.30,2334.193960489357135525,107161,7010,250134559.00,24156,22.54,56.75,3.40
11-January-2017,2315.45,2328.00,2282.00,2323.05,2306.849808396671818432,47233,3229,108959437.00,10459,22.14,46.00,7.60
10-January-2017,2319.00,2328.30,2289.00,2315.45,2316.626732821849969048,106618,4428,246994109.00,70938,66.53,39.30,-3.55
9-January-2017,2288.00,2310.00,2257.05,2303.75,2286.290985532335847656,40435,2907,92446176.00,6699,16.57,52.95,15.75
6-January-2017,2320.00,2329.80,2257.00,2283.60,2282.569350130820767985,264484,7145,603703072.00,198743,75.14,72.80,-36.40
5-January-2017,2378.55,2387.00,2325.00,2334.55,2350.993237589439710377,58559,4641,137671813.00,18851,32.19,62.00,-44.00
4-January-2017,2369.10,2386.00,2358.50,2378.55,2374.780686377624556892,25671,1838,60962995.00,8853,34.49,27.50,9.45
3-January-2017,2361.00,2371.35,2344.05,2368.50,2356.719368070503188076,49246,3549,116059002.00,24565,49.88,27.30,7.50
2-January-2017,2365.00,2375.00,2352.90,2359.05,2366.435336251492240350,25130,1644,59468520.00,6621,26.35,22.10,-5.95
30-December-2016,2351.90,2375.90,2351.90,2361.95,2365.270305455772800694,41479,3269,98109047.00,13043,31.44,24.00,10.05
29-December-2016,2304.90,2355.00,2304.90,2350.75,2345.570469798657718120,41571,2592,97507710.00,13822,33.25,50.10,45.85
28-December-2016,2325.00,2349.00,2308.05,2315.80,2335.514897910731244064,33696,2857,78697510.00,10046,29.81,40.95,-9.20
27-December-2016,2290.00,2329.00,2288.85,2321.85,2318.878333601415473701,31085,2375,72082333.00,9254,29.77,40.15,31.85
26-December-2016,2280.00,2300.00,2272.50,2292.10,2290.491588298460837590,30731,2077,70389097.00,10653,34.67,27.50,12.10
23-December-2016,2309.00,2315.70,2280.00,2290.20,2296.990592728815956995,28276,1839,64949706.00,9243,32.69,35.70,-18.80
22-December-2016,2312.75,2324.70,2286.00,2309.85,2306.118937402591360580,42989,2334,99137747.00,20698,48.15,38.70,-2.90
21-December-2016,2345.00,2345.00,2305.00,2312.75,2318.824319636719119548,31711,3432,73532238.00,13064,41.20,40.00,-32.25
20-December-2016,2290.00,2344.00,2287.45,2337.75,2327.677331065408999536,64670,4815,150530893.00,18059,27.92,56.55,47.75
19-December-2016,2288.00,2296.05,2262.90,2287.50,2275.835168829280703667,27513,1978,62615053.00,10169,36.96,33.15,-0.50
16-December-2016,2270.10,2286.00,2257.60,2281.75,2275.011400286686973660,44648,3201,101574709.00,14260,31.94,28.40,11.65
15-December-2016,2207.90,2271.50,2200.55,2259.50,2252.020753454983937975,106151,9049,239054255.00,34605,32.60,70.95,51.60
14-December-2016,2202.00,2223.00,2190.00,2207.90,2206.933371257910829837,56252,3712,124144416.00,23939,42.56,33.00,5.90
13-December-2016,2244.00,2244.00,2185.00,2200.85,2200.488490232649455187,40748,2981,89665505.00,11130,27.31,59.00,-43.15
12-December-2016,2195.00,2215.50,2166.00,2206.25,2202.442290995787529801,217687,4239,479443055.00,170616,78.38,49.50,11.25
9-December-2016,2201.55,2220.95,2175.00,2193.45,2201.219788491212223853,53142,3481,116977222.00,16567,31.17,45.95,-8.10
8-December-2016,2160.00,2200.00,2160.00,2196.90,2192.239708671330900282,62747,2531,137556465.00,35204,56.10,40.00,36.90
7-December-2016,2190.00,2190.00,2151.00,2158.20,2167.742768094892277898,66096,3900,143279126.00,26836,40.60,39.00,-31.80
6-December-2016,2195.00,2204.00,2177.00,2190.45,2191.834877824889627136,45754,2511,100285213.00,19375,42.35,27.00,-4.55
5-December-2016,2221.00,2235.15,2173.00,2186.45,2192.342521654424347734,37983,3708,83271746.00,8639,22.74,62.15,-34.55
2-December-2016,2265.00,2269.90,2208.00,2223.90,2234.679528218260612626,40612,2893,90754805.00,10812,26.62,61.90,-41.10
1-December-2016,2290.00,2290.00,2256.65,2266.45,2271.406308946864389564,34459,2368,78270390.00,9260,26.87,33.35,-23.55
30-November-2016,2262.50,2295.00,2244.05,2276.75,2270.919301233849860828,48142,3273,109326597.00,11362,23.60,50.95,14.25
29-November-2016,2280.50,2290.25,2251.35,2258.40,2270.948623075836746222,35405,2257,80402936.00,9440,26.66,38.90,-22.10
28-November-2016,2300.00,2317.70,2254.40,2277.30,2283.738803885664628658,64442,5330,147168696.00,14547,22.57,63.30,-22.70
25-November-2016,2199.95,2310.00,2196.10,2300.85,2272.857965363745654222,153885,8253,349758748.00,56385,36.64,113.90,100.90
24-November-2016,2155.00,2208.00,2140.00,2186.50,2192.571318403822599912,264532,3527,580005276.00,221733,83.82,68.00,31.50
23-November-2016,2141.15,2162.30,2129.60,2156.70,2150.417422611656644634,368854,1974,793190068.00,342808,92.94,32.70,15.55
22-November-2016,2132.00,2174.90,2121.65,2134.30,2148.019878547527574668,40345,3041,86661862.00,10103,25.04,53.25,2.30
21-November-2016,2130.00,2141.00,2107.00,2132.55,2127.313113439033597583,42384,2035,90164039.00,11829,27.91,34.00,2.55
18-November-2016,2146.00,2149.05,2106.50,2123.15,2123.742503259452411994,47554,3122,100992451.00,8506,17.89,42.55,-22.85
17-November-2016,2189.00,2204.70,2135.20,2142.15,2162.551157462273840562,63285,4247,136857050.00,17886,28.26,69.50,-46.85
16-November-2016,2125.00,2209.50,2125.00,2190.25,2192.528608568541464323,509655,4828,1117433168.00,461475,90.55,84.50,65.25
15-November-2016,2115.00,2156.40,2054.70,2122.10,2108.804124221961729597,60569,4358,127728157.00,15038,24.83,101.70,7.10
11-November-2016,2145.00,2146.00,2091.00,2105.05,2112.486868333624759573,85785,6740,181219686.00,23624,27.54,55.00,-39.95
10-November-2016,2200.00,2219.00,2142.00,2158.05,2186.604734274034023473,75830,4781,165810237.00,26230,34.59,77.00,-41.95
9-November-2016,2220.90,2275.00,2142.30,2171.05,2179.454664317580899502,378587,14601,825113203.00,192934,50.96,132.70,-49.85
8-November-2016,2280.00,2307.50,2262.30,2283.70,2283.368798619729394315,66074,4631,150871310.00,17845,27.01,45.20,3.70
7-November-2016,2331.50,2339.00,2263.10,2279.35,2297.912569379278237275,137469,4330,315891743.00,86808,63.15,75.90,-52.15
4-November-2016,2301.00,2336.00,2294.95,2330.10,2316.233429258111441401,63244,2944,146487867.00,34560,54.65,41.05,29.10
3-November-2016,2294.00,2333.55,2284.00,2319.95,2314.040805338153568063,52003,3692,120337064.00,13490,25.94,49.55,25.95
2-November-2016,2340.00,2340.00,2296.15,2304.45,2325.317322285821185998,662834,4391,1541299382.00,620496,93.61,43.85,-35.55
1-November-2016,2394.00,2394.60,2335.05,2347.70,2365.779400031913196106,37602,2970,88958037.00,16386,43.58,59.55,-46.30
30-October-2016,2400.00,2424.00,2390.00,2394.60,2397.084464964693101575,7364,798,17652130.00,3093,42.00,34.00,-5.40
28-October-2016,2413.25,2415.00,2383.00,2399.25,2399.959068719489297784,34619,2336,83084183.00,15324,44.26,32.00,-14.00
27-October-2016,2380.00,2425.00,2366.90,2413.25,2389.003371034889290056,54286,7251,129689437.00,21379,39.38,58.10,33.25
26-October-2016,2398.65,2403.95,2373.00,2396.95,2389.714514318469512049,41869,2309,100054957.00,18435,44.03,30.95,-1.70
25-October-2016,2398.00,2414.40,2388.90,2398.65,2401.393128453038674033,34752,2126,83453214.00,9267,26.67,25.50,0.65
24-October-2016,2428.00,2430.55,2404.00,2427.85,2419.967901357827476038,20032,1488,48476797.00,6783,33.86,26.55,-0.15
21-October-2016,2398.00,2431.25,2398.00,2428.70,2422.047463667499768582,43212,2395,104661515.00,23969,55.47,33.25,30.70
20-October-2016,2390.10,2408.75,2386.00,2399.85,2401.170634199527530437,27515,1834,66068210.00,8673,31.52,22.75,9.75
19-October-2016,2405.00,2405.00,2371.20,2394.20,2385.911447643349790129,54081,2605,129032477.00,25975,48.03,33.80,-10.80
18-October-2016,2371.00,2410.00,2355.00,2398.30,2377.729268027506727188,73582,4649,174958075.00,32857,44.65,55.00,27.30
17-October-2016,2367.10,2377.00,2348.05,2362.90,2361.652137351086194814,57080,2676,134803104.00,27863,48.81,28.95,-4.20
14-October-2016,2322.00,2384.40,2298.85,2365.90,2347.215373530819111313,181819,9102,426768352.00,28402,15.62,85.55,43.90
13-October-2016,2355.00,2367.85,2323.25,2328.50,2343.456443390035838675,396220,6377,928524312.00,307639,77.64,44.60,-26.50
10-October-2016,2370.00,2385.00,2352.80,2380.10,2376.480167773844736459,82492,3789,196040602.00,45487,55.14,32.20,10.10
7-October-2016,2388.00,2388.00,2356.90,2368.25,2367.208287230439200632,44285,3324,104831819.00,19789,44.69,31.10,-19.75
6-October-2016,2390.00,2397.55,2372.00,2384.25,2385.092995699113490739,45572,2780,108693458.00,12423,27.26,25.55,-5.75
5-October-2016,2406.00,2413.40,2376.00,2382.55,2387.726988642486153315,46401,2898,110792920.00,12178,26.25,37.40,-23.45
4-October-2016,2412.00,2422.30,2395.05,2401.10,2409.351846488052136133,759550,3090,1830023195.00,728454,95.91,27.25,-10.90
3-October-2016,2440.00,2455.00,2401.30,2411.80,2412.847393891831796481,91746,5818,221369097.00,54449,59.35,53.70,-28.20
30-September-2016,2435.00,2448.00,2425.00,2427.20,2434.626186511955234384,174777,1892,425516661.00,156957,89.80,23.00,-7.80
29-September-2016,2428.00,2449.60,2419.45,2434.60,2434.057560137457044673,350364,4287,852806143.00,305953,87.32,30.15,6.60
28-September-2016,2430.00,2436.00,2415.00,2423.45,2427.648150185452945244,127256,2113,308932793.00,111826,87.87,21.00,-6.55
27-September-2016,2405.00,2445.00,2405.00,2430.70,2431.653310934483363839,39883,2886,96981629.00,9598,24.07,40.00,25.70
26-September-2016,2393.00,2416.90,2393.00,2400.85,2409.213781430815528352,279463,2846,673286111.00,261181,93.46,23.90,7.85
23-September-2016,2384.00,2401.50,2375.00,2397.30,2387.361884528527765937,441044,3180,1052931635.00,412986,93.64,26.50,13.30
